id,type,score,display_name,requirement,中文显示
SUSPICIOUS_STEW,block,1,,,谜之炖菜
INK_SAC,block,1,,,墨囊
CARROT_ON_A_STICK,block,1,,,胡萝卜钓竿
WARPED_FUNGUS_ON_A_STICK,block,1,,,诡异菌钓竿
GLISTERING_MELON_SLICE,block,1,,,闪烁的西瓜片
GOLDEN_APPLE,block,1,,,金苹果
FERMENTED_SPIDER_EYE,block,1,,,发酵蛛眼
MAGMA_CREAM,block,1,,,岩浆膏
EGG,block,1,,,鸡蛋
WRITABLE_BOOK,block,1,,,书与笔
FEATHER,block,1,,,羽毛
ANVIL,block,2,,,铁砧
ARMADILLO_SCUTE,block,1,,,犰狳鳞甲
BEEHIVE,block,1,,,蜂箱
BEE_NEST,block,1,,,蜂巢
BLACKSTONE,block,1,,,黑石
BLACKSTONE_SLAB,block,1,,,黑石台阶
BLACKSTONE_STAIRS,block,1,,,黑石楼梯
BLACKSTONE_WALL,block,1,,,黑石墙
BLUE_ICE,block,1,,,蓝冰
BOOKSHELF,block,1,,,书架
CHIPPED_ANVIL,block,2,,,开裂的铁砧
CHISELED_BOOKSHELF,block,1,,,雕纹书架
CHISELED_NETHER_BRICKS,block,1,,,雕纹下界砖块
CHISELED_POLISHED_BLACKSTONE,block,1,,,雕纹磨制黑石
CHISELED_QUARTZ_BLOCK,block,1,,,雕纹石英块
CRACKED_POLISHED_BLACKSTONE_BRICKS,block,1,,,裂纹磨制黑石砖
CRIMSON_PLANKS,block,1,,,绯红木板
CRIMSON_ROOTS,block,1,,,绯红菌索
CRYING_OBSIDIAN,block,2,,,哭泣的黑曜石
DAMAGED_ANVIL,block,2,,,损坏的铁砧
DARK_PRISMARINE,block,1,,,暗海晶石
DARK_PRISMARINE_SLAB,block,1,,,暗海晶石台阶
DARK_PRISMARINE_STAIRS,block,1,,,暗海晶石楼梯
DAYLIGHT_DETECTOR,block,1,,,阳光探测器
DRIPSTONE_BLOCK,block,1,,,滴水石块
ENCHANTING_TABLE,block,1,,,附魔台
ENDER_CHEST,block,2,,,末影箱
ENDER_EYE,block,2,,,末影之眼
FERN,block,1,,,蕨
FLOWERING_AZALEA,block,1,,,盛开的杜鹃花丛
FLOWERING_AZALEA_LEAVES,block,1,,,盛开的杜鹃树叶
GHAST_TEAR,block,3,,,恶魂之泪
GILDED_BLACKSTONE,block,1,,,镶金黑石
GLOWSTONE,block,1,,,荧石
HONEYCOMB_BLOCK,block,2,,,蜜脾块
HONEY_BLOCK,block,2,,,蜂蜜块
ICE,block,1,,,冰
LARGE_AMETHYST_BUD,block,1,,,大型紫晶芽
MAGMA_BLOCK,block,1,,,岩浆块
MANGROVE_PLANKS,block,2,,,红树木板
MEDIUM_AMETHYST_BUD,block,1,,,中型紫晶芽
MOSSY_COBBLESTONE,block,1,,,苔石
MOSSY_STONE_BRICKS,block,1,,,苔石砖
NETHER_BRICKS,block,1,,,下界砖块
NETHER_SPROUTS,block,2,,,下界苗
NETHER_WART,block,2,,,下界疣
NETHER_WART_BLOCK,block,1,,,下界疣块
OBSERVER,block,1,,,侦测器
PACKED_ICE,block,1,,,浮冰
PRISMARINE,block,1,,,海晶石
PRISMARINE_BRICKS,block,1,,,海晶石砖
PRISMARINE_BRICK_SLAB,block,1,,,海晶石砖台阶
PRISMARINE_BRICK_STAIRS,block,1,,,海晶石砖楼梯
PRISMARINE_SLAB,block,1,,,海晶石台阶
PRISMARINE_STAIRS,block,1,,,海晶石楼梯
PRISMARINE_WALL,block,1,,,海晶石墙
QUARTZ_BRICKS,block,1,,,石英砖
QUARTZ_PILLAR,block,1,,,石英柱
QUARTZ_SLAB,block,1,,,石英台阶
QUARTZ_STAIRS,block,1,,,石英楼梯
RED_NETHER_BRICKS,block,2,,,红色下界砖块
RESPAWN_ANCHOR,block,2,,,重生锚
SEA_LANTERN,block,1,,,海晶灯
SMALL_DRIPLEAF,block,1,,,小型垂滴叶
SMOOTH_QUARTZ_SLAB,block,1,,,平滑石英台阶
SMOOTH_QUARTZ_STAIRS,block,1,,,平滑石英楼梯
SOUL_CAMPFIRE,block,1,,,灵魂营火
SOUL_LANTERN,block,1,,,灵魂灯笼
SOUL_SAND,block,1,,,灵魂沙
SOUL_SOIL,block,1,,,灵魂土
SOUL_TORCH,block,1,,,灵魂火把
TWISTING_VINES,block,1,,,缠怨藤
WARPED_PLANKS,block,2,,,诡异木板
CRAFTER,block,1,,,合成器
EXPOSED_COPPER_BULB,block,1,,,斑驳的铜灯
EXPOSED_COPPER_TRAPDOOR,block,2,,,斑驳的铜活板门
EXPOSED_CUT_COPPER,block,2,,,斑驳的切制铜块
EXPOSED_CUT_COPPER_SLAB,block,2,,,斑驳的切制铜台阶
EXPOSED_CUT_COPPER_STAIRS,block,2,,,斑驳的切制铜楼梯
WAXED_CHISELED_COPPER,block,2,,,涂蜡的雕纹铜块
WAXED_COPPER_BLOCK,block,2,,,涂蜡的铜块
WAXED_COPPER_BULB,block,2,,,涂蜡的铜灯
WAXED_COPPER_DOOR,block,2,,,涂蜡的铜门
WAXED_COPPER_GRATE,block,2,,,涂蜡的铜格栅
WAXED_COPPER_TRAPDOOR,block,2,,,涂蜡的铜活板门
WAXED_CUT_COPPER,block,2,,,涂蜡的切制铜块
WAXED_CUT_COPPER_SLAB,block,2,,,涂蜡的切制铜台阶
WAXED_CUT_COPPER_STAIRS,block,2,,,涂蜡的切制铜楼梯
CLOSED_EYEBLOSSOM,block,2,,,闭合的眼眸花
PALE_OAK_PLANKS,block,2,,,苍白橡木木板
SHORT_DRY_GRASS,block,1,,,矮枯草丛
TALL_DRY_GRASS,block,1,,,高枯草丛
CACTUS_FLOWER,block,1,,,仙人掌花
EXPOSED_COPPER_CHEST,block,2,,,斑驳的铜箱子
WAXED_COPPER_CHEST,block,2,,,涂蜡的铜箱子
EXPOSED_COPPER_BARS,block,2,,,斑驳的铜栏杆
WAXED_COPPER_BARS,block,2,,,涂蜡的铜栏杆
EXPOSED_COPPER_CHAIN,block,2,,,斑驳的铜链
WAXED_COPPER_CHAIN,block,2,,,涂蜡的铜链
EXPOSED_COPPER_LANTERN,block,2,,,斑驳的铜灯笼
WAXED_COPPER_LANTERN,block,2,,,涂蜡的铜灯笼
EXPOSED_LIGHTNING_ROD,block,2,,,斑驳的避雷针
WAXED_LIGHTNING_ROD,block,2,,,涂蜡的避雷针
EXPOSED_COPPER_GOLEM_STATUE,block,2,,,斑驳的铜傀儡像
WAXED_COPPER_GOLEM_STATUE,block,2,,,涂蜡的铜傀儡像
CANDLE,block,1,,,蜡烛
BREEZE_ROD,block,2,,,旋风棒
DIAMOND_BLOCK,block,2,,,钻石块
HEART_OF_THE_SEA,block,2,,,海洋之心
SCULK,block,2,,,幽匿块
SCULK_SHRIEKER,block,2,,,幽匿尖啸体
POWDER_SNOW_BUCKET,block,2,,,细雪桶
COD_BUCKET,block,1,,,鳕鱼桶
SALMON_BUCKET,block,1,,,鲑鱼桶
PUFFERFISH_BUCKET,block,2,,,河豚桶
TROPICAL_FISH_BUCKET,block,1,,,热带鱼桶
SPECTRAL_ARROW,block,1,,,光灵箭
TIPPED_ARROW,block,1,,,药箭
EXPERIENCE_BOTTLE,block,2,,,附魔之瓶
SPYGLASS,block,1,,,望远镜
RABBIT_HIDE,block,1,,,兔子皮
RABBIT_STEW,block,2,,,兔肉煲
NAME_TAG,block,1,,,命名牌
POISONOUS_POTATO,block,3,,,毒马铃薯
FIRE_CHARGE,block,1,,,火焰弹
GOAT_HORN,block,3,,,山羊角
BLUE_EGG,block,2,,,寒带鸡蛋
BROWN_EGG,block,2,,,热带鸡蛋
AMETHYST_CLUSTER,block,1,,,紫水晶簇
ANCIENT_DEBRIS,block,3,,,远古残骸
BRAIN_CORAL,block,2,,,脑纹珊瑚
BRAIN_CORAL_BLOCK,block,2,,,脑纹珊瑚块
BRAIN_CORAL_FAN,block,2,,,脑纹珊瑚扇
CALIBRATED_SCULK_SENSOR,block,2,,,校频幽匿感测体
COAL_ORE,block,1,,,煤矿石
COPPER_ORE,block,1,,,铜矿石
DEAD_BRAIN_CORAL,block,2,,,失活的脑纹珊瑚
DEAD_BRAIN_CORAL_BLOCK,block,2,,,失活的脑纹珊瑚块
DEAD_BRAIN_CORAL_FAN,block,2,,,失活的脑纹珊瑚扇
DEEPSLATE_COPPER_ORE,block,1,,,深层铜矿石
DEEPSLATE_DIAMOND_ORE,block,1,,,深层钻石矿石
DEEPSLATE_GOLD_ORE,block,1,,,深层金矿石
DEEPSLATE_IRON_ORE,block,1,,,深层铁矿石
DEEPSLATE_REDSTONE_ORE,block,1,,,深层红石矿石
EMERALD_ORE,block,2,,,绿宝石矿石
GOLD_ORE,block,1,,,金矿石
GRASS_BLOCK,block,1,,,草方块
IRON_ORE,block,1,,,铁矿石
MUSHROOM_STEM,block,1,,,蘑菇柄
NETHER_GOLD_ORE,block,1,,,下界金矿石
NETHER_QUARTZ_ORE,block,1,,,下界石英矿石
PODZOL,block,1,,,灰化土
REDSTONE_ORE,block,1,,,红石矿石
SMALL_AMETHYST_BUD,block,1,,,小型紫晶芽
SPONGE,block,2,,,海绵
TURTLE_EGG,block,2,,,海龟蛋
WET_SPONGE,block,2,,,湿海绵
WAXED_EXPOSED_CHISELED_COPPER,block,1,,,涂蜡的斑驳雕纹铜块
WAXED_EXPOSED_COPPER,block,1,,,涂蜡的斑驳铜块
WAXED_EXPOSED_COPPER_BULB,block,1,,,涂蜡的斑驳铜灯
WAXED_EXPOSED_COPPER_DOOR,block,1,,,涂蜡的斑驳铜门
WAXED_EXPOSED_COPPER_GRATE,block,1,,,涂蜡的斑驳铜格栅
WAXED_EXPOSED_COPPER_TRAPDOOR,block,1,,,涂蜡的斑驳铜活板门
WAXED_EXPOSED_CUT_COPPER,block,1,,,涂蜡的斑驳切制铜块
WAXED_EXPOSED_CUT_COPPER_SLAB,block,1,,,涂蜡的斑驳切制铜台阶
WAXED_EXPOSED_CUT_COPPER_STAIRS,block,1,,,涂蜡的斑驳切制铜楼梯
CREAKING_HEART,block,2,,,嘎枝之心
RESIN_BLOCK,block,2,,,树脂块
DRIED_GHAST,block,2,,,失水恶魂
WAXED_EXPOSED_COPPER_CHEST,block,1,,,涂蜡的斑驳铜箱子
WAXED_EXPOSED_COPPER_BARS,block,2,,,涂蜡的斑驳铜栏杆
WAXED_EXPOSED_COPPER_CHAIN,block,2,,,涂蜡的斑驳铜链
WAXED_EXPOSED_COPPER_LANTERN,block,2,,,涂蜡的斑驳铜灯笼
WAXED_EXPOSED_LIGHTNING_ROD,block,2,,,涂蜡的斑驳避雷针
WAXED_EXPOSED_COPPER_GOLEM_STATUE,block,1,,,涂蜡的斑驳铜傀儡像
LAPIS_ORE,block,1,,,青金石矿石
DEEPSLATE_LAPIS_ORE,block,1,,,深层青金石矿石
NAUTILUS_SHELL,block,3,,,鹦鹉螺壳
WITHER_SKELETON_SKULL,block,5,,,凋灵骷髅头颅
OMINOUS_BOTTLE,block,2,,,不祥之瓶
ECHO_SHARD,block,2,,,回响碎片
RECOVERY_COMPASS,block,3,,,追溯指针
TOTEM_OF_UNDYING,block,4,,,不死图腾
NETHERITE_UPGRADE_SMITHING_TEMPLATE,block,3,,,下界合金升级锻造模板
NETHERITE_INGOT,block,4,,,下界合金锭
NETHERITE_BLOCK,block,10,,,下界合金块
TRIDENT,block,7,,,三叉戟
MACE,block,20,,,重锤
SNIFFER_EGG,block,5,,,嗅探兽蛋
RABBIT_FOOT,block,3,,,兔子脚
CHORUS_FLOWER,block,-1,,,紫颂花
END_ROD,block,-1,,,末地烛
END_STONE,block,-1,,,末地石
END_STONE_BRICK_SLAB,block,-1,,,末地石砖台阶
END_STONE_BRICK_STAIRS,block,-1,,,末地石砖楼梯
END_STONE_BRICK_WALL,block,-1,,,末地石砖墙
